[4869131253,eau de V,123.27145774010823]
[1082642116688429056,Anne-L. Sunflower,0.5998193403822046]
[482375229,•Kylie•,0.5995945207678459]
[1181367144,Large marge,0.5990795386450949]
[837316694431289344,อังควัน☀️ รักควานลินกับจีมินมาก,0.5988523864893157]
[244549489,Jeff Collum,0.598307937637572]
[531681682,Shaken, Not Stirred,0.5979781675245821]
[4153850572,aims 😉,0.5979225075357213]
[738943841437253632,🌻ramen-dogge🌻,0.5978841509414718]
[177079213,Aaron Hysell,0.5970075310281409]
[31232324,News Central 34,0.5969108397104357]
[24065865,gianina,0.5963867600231721]
[1031251089188839424,Nick Bonse,0.596149252034271]
[1104036603595509760,Mark Payne,0.5961466641496033]
[981664405,J E A N 🌴,0.5953846147869807]
[971961359750414338,💌she took the ekids💌,0.5948595733376917]
[4163933007,Oatcakes MacPhail,0.5948570980021722]
[433120305,baylee☀️,0.5944414415327397]
[840049344,𝒫𝒾𝓁𝒶𝓇,0.593813692074693]
[867815682095927296,lee is seeing SF9,0.5936474480926035]
[709077387506425856,🇨🇦Mike🇨🇦🌊 PART-TIME SHOE SMUGGLER!,0.5930591642288651]
[1079418965003096064,Calon Imam-mu,0.593052291994992]
[623987118,QuamzDKingKong,0.5930507297069226]
[1110837788038098945,Sondos,0.5923067200691434]
[518138640,Ash 🍓 | ✈ METLIFE 5/18,0.5918512872096207]
[1032908953,de_Plazza,0.591685151583214]
[2973208973,Monika Boos,0.5912562586307617]
[1101137083337461760,M.E. Small Elementary School,0.5909366853379734]
[765550966896812032,madrista_kaba 🇲🇷,0.5906918355707615]
[210632535,MISSAEL VILLALBA | VILLALIKERS - 😉🎙✌ (OFICIAL),0.5906705367651544]
[995857108871544832,Soph,0.59065740755942]
[1571787570,Washington TimbersFC,0.5901902768243232]
[2421515348,KT 🌹,0.5896110649302406]
[1095908663213154305,Samiya Wazir,0.5894459173399819]
[21903883,Lefler Collision,0.5891874878039509]
[1454456569,Emilie M. 'Arshif,0.5888325746011578]
[751569652963094528,Ken Arok,0.5881282946009336]
[3872370621,katerina,0.5880921250563794]
[2842725826,John Muir Project,0.5879757133749732]
[741478236106821633,keysha 🦖,0.5873536991738568]
[1110342227262357504,kee🌻,0.5871326693121774]
[1014913074158100481,bando baby 29,0.5869332422271004]
[369539092,Kendra Darr,0.5869009031285028]
[1100584194327998464,Hadrian Cavan,0.5866536186391722]
[1105289605543165954,GoddessOfTheSnake88,0.586239858088998]
[113662446,facunda aniysäh💅🏾,0.5862006007249644]
[1022900639662309377,hollssss,0.5857923896362487]
[3079806447,lily🍓🌶🌹,0.5857244232770552]
[222677093,little john,0.5849954319949304]
[422025155,Michael King,0.5845151189988461]
[1025542969489731584,hyun.,0.5843955895772457]
[1026984679935631362,James Beatty,0.5836703761541205]
[41560467,DementedBonxie,0.5830566345058896]
[729734917375012868,Acre Media,0.5829471187466024]
[18057450,Ron Feir Fine Living,0.5824552341260771]
[108999066,Champion Cleaners,0.5822258092391258]
[104921602,ruby lee,0.5818631852094664]
[61260727,Eric,0.5816337892099568]
[2900820864,Andy✨,0.581353055434529]
[1610250974,Bangwool 🛎,0.5809161941953239]
[285120187,genuine,0.580421238572157]
[799309050903076864,PonamanHC,0.5803278855880529]
[1365947738,Hatem,0.5799155765733139]
[1296232519,Platinum Jacob Groves (D-backs 5-5),0.5796139744255244]
[318502415,“r.o.t.” - eeem,0.5794771570484807]
[3681386896,Alex Maxbauer-Saxby,0.5790293467775844]
[802381242289258496,v,0.5786529744951855]
[223640116,LAH.,0.5785431474022766]
[4025757498,𝒷𝑜𝓎 𝓌𝒾𝓉𝒽 𝓁𝑜𝓋𝑒,0.5782327461637774]
[4182887535,nicole | 120 days left!,0.5781767405454196]
[121283479,Nashville Toffee Co,0.578175162184767]
[1105636868769701888,NykChi,0.5774679935238344]
[752497722,Madi,0.5772314227153273]
[608527385,Elle Of Buckhead,0.5768895511612429]
[1038611713040506880,kimmy,0.5761859799649389]
[808537267853672448,Manusia lemah,0.5761188567545903]
[1113994234384637952,Wayne3102,0.5754842737835291]
[757556331993788416,bts paved the way.,0.5753596909555615]
[997893572593500160,Brondong_surabaya,0.5747116687684101]
[3233158140,Caitlyn Tenczar,0.5746609940744941]
[3795748874,Dave,0.5742171038619293]
[132529653,Guillaume Cromer,0.5740022619500224]
[3073370421,samm👽,0.5735217814665593]
[950226080006209536,bee,0.5733119423612897]
[394230321,❄️,0.5728282891090045]
[19552535,Carl Bishop,0.5721366193797625]
[75771913,Lies ter Haar Burgerforum Losser,0.5720116401295628]
[21813936,Sjöng och var lite äventyrlig av sig,0.5719196167544149]
[375502411,nickita,0.5715766384146361]
[18888387,Michael Laitman,0.5715016852308669]
[2867985462,Your Butt's Crackin',0.5714467649097992]
[4909650411,Maddie🌻,0.5708853780119809]
[1433824088,King's Walk,0.5705386046696137]
[326572569,Jess the new girl,0.5705346318358667]
[892214142672683008,Colin McGuire,0.5702756983120059]
[404386402,Jessssss,0.5701288555138514]
[710869729737445378,comfort foods,0.56994133023234]
[1450087830,MelroseEdFoundation,0.5696362954118787]
[727273178,It,0.5695821786957598]
[1040029290182725632,🌻 𝓴𝓪𝔂𝓽𝓮𝓪 🌻,0.5689013197091015]
[764870244515057664,Carp Marathon,0.5687925401900996]
[541628957,Mr Fallback,0.5682222298635844]
[955863030692306944,Pepto Abysmal,0.567544902087257]
[1113697404484587521,Oscar Lopez,0.5674349075241791]
[343719343,ferranda, and a flower 🌸,0.5668950433960619]
[285749252,INU,0.5662233206538163]
[1026767406084120577,Marine ⚓️,0.5661178946119734]
[1306603813,rubyfruit bunghole,0.5658368283607063]
[1025487158621036544,D & R Electronix Cell Phone Repairs - Redlands,0.565445902644289]
[1005756388927209472,DannyMo,0.5648825596662495]
[2757754036,Shirley,0.5647063033905306]
[972937578,TT,0.5644820180880114]
[3160020186,Aubrey 🌼,0.5640387831374829]
[1030517375190347776,GENIE: Shay ❤️#SHA_LA_LA ❤️,0.5635140028127217]
[1096383239550390272,Fawn Whitehead,0.5634985927525267]
[734917717833207808,Sébastien Bédard,0.5632974456806683]
[853266067266916352,Coublucq64,0.5632672965194552]
[247524621,.,0.5631342503572208]
[816945153705410560,Iam Yali,0.5628806751218388]
[3233937890,its meaghan,0.5628343480174173]
[220863808,Silvia Leon,0.562377949958847]
[4643622923,Les Hameaux Bio,0.5619754147138167]
[940101708,GoldToothMel,0.5618422981853892]
[814434151059353600,dada,0.5617934689280529]
[14261257,Christine,0.5617337429686515]
[1428945350,Sloan Hayden,0.5613356855126291]
[169108280,Nadine,0.5607062359671224]
[1092493743138197507,𝓂𝒾𝒶,0.5606785516689091]
[965287723916345344,ʍíӀϲɑ ʍɑղԵɑաҽӀ,0.5604088035961619]
[1591142924,Perc Nowitzki,0.5600230900860012]
[26579503,Anja,0.5596844304516139]
[983668527424032768,JoyceVisio,0.5594978005560332]
[49069713,Drew Dixon,0.5593692942169711]
[881541232253693954,Kaz,0.5588516673330297]
[890333373436051456,𝚖𝚒𝚎𝚕☁️,0.5587171575494633]
[114127411,stop umts,0.5583702765034342]
[930846442071011328,PolarFleece,0.5580666736054699]
[1278941568,Stephℓ,0.5579556565402517]
[2366349750,jess🏳️‍🌈,0.5576782179808207]
[2782411529,crystal clear,0.5574429777565827]
[931635001392877569,Rose,0.5574178359411036]
[215208170,HP Nijhof,0.557244639409929]
[1710344886,jordan robison bitch,0.5567706381463706]
[66838778,Vanessa,0.5561250738449481]
[699917940506914816,DOOMPLATOON,0.556042662628163]
[1481314375,Jon Evan Glaser,0.5560246207568655]
[410761706,götze,0.5559469727661519]
[52332714,BRIAN ADAMS,0.5556065446907646]
[93377088,Kate Baggott,0.5549640833213011]
[927955903,Min ;,0.5546558672533499]
[63899870,toomuchcountry,0.5545739310749513]
[959902310116798466,Liseron,0.5544996088927691]
[1062881774936698880,Maris,0.5539344041273373]
[2916237421,ɪɴɴᴇʀ ᴀsʜᴇs 𝘢𝘯𝘥 𝘢 𝘧𝘭𝘰𝘸𝘦𝘳,0.553667319712489]
[84952196,Amul Choudhary,0.5532964803757017]
[712363004428300288,Chloe ଘ(੭*ˊᵕˋ)੭*,0.5529836719536273]
[38343421,akiyang,0.5527855192170892]
[905927062015369217,michy,0.5526841578537207]
[239639963,Jewel,0.5521506393100576]
[1097499290618994688,Rohan 💥,0.5521450251337519]
[3313893670,𝖆𝖓𝖓𝖎𝖊 𝖒𝖔𝖑𝖑𝖞,0.5517063384569727]
[776313901,tiffanyy🌼,0.5515173445056454]
[1056253544041451520,#FreakNastySquad,0.5513931255067649]
[1105636181922983937,Not Sam Roberts,0.5510110861813291]
[1012778448467779584,jrdn is working,0.5506499530633527]
[1447436701,Brittany,0.5505061900003662]
[1065439094531010560,Fadli Zen,0.5504389393236903]
[1277279954,Shiba ebooks,0.5499083667157096]
[25878764,whyamihere,0.549877327617693]
[95308091,Robert Cornicelli,0.5492500268832347]
[436726376,Nebojsa Simonovic,0.549177861893179]
[1031156806977040384,KATSUKI taekook!au📌,0.5487497640502301]
[1039937066484854785,Alayor Photography,0.5486761456058973]
[335809456,Rotterdamse Salon,0.5482188625296804]
[323951807,Nicola Shelton,0.5481254259309096]
[1001012176704942083,libby,0.547853297058649]
[729298175253680129,Carolyn McNeil,0.5475026320060994]
[1031643573647814657,counterintuitive,0.5472045319794094]
[258987040,DRFL💙❤️,0.5468813763997655]
[290823648,🌻bry🌻,0.5462616532660399]
[156000656,Abraham,0.5457414826820728]
[3883068573,Andrea Vincenti,0.5456434567890251]
[2785282682,elisa #persona,0.5451518993682162]
[476728862,dakota taylor,0.5450267811826012]
[1113698873254367232,Dario Garcia,0.5447818124462686]
[2273327918,im baby,0.5445038114367131]
[32398136,shaynesteven,0.5444116206902329]
[742964098502103040,Michael Troyan,0.5437979695847815]
[2344913904,Andreas Grunewald,0.5435812252746611]
[725411355805782016,taylor🌻,0.5432761888057388]
[3460017503,Federico Antonini,0.543185822168313]
[905505235879198722,ᥨꪮᥨι༊ ണꪖρ ꪮʄ Ⲋꪮυᥨ,0.5427013088078995]
[4644775817,John F Leonard,0.5423880587043456]
[1029356555987308544,Blandy Education,0.5420920101311456]
[238273550,Hans Christiaans,0.5420545760466362]
[2955253831,Alex Costilla,0.5414841985687567]
[379524109,Kilo Mike 🌍🥃🇨🇩,0.541202245636555]
[358120373,MM Anderson Art,0.54109148655127]
[3506239633,K5,0.540838927952693]
[2980798068,Cortisha❤️,0.5407383113702138]
[55345697,DHI,0.5401344079418401]
[806688284072026112,longing4semencocoon,0.5397776527844136]
[1015124135414939649,Roger,0.5396291997753574]
[963300244023861248,yeeyee .,0.5395897338310629]
[2898164614,𝔰𝔱𝔢𝔳𝔢𝔫,0.5392408537397971]
[333443194,ﾉ尺ﾉ丂,0.5386488027453085]
[626890279,ShiNail Nail Salon,0.5386417719247873]
[794809669,Grant,0.5383611970301442]
[282007761,Raging Bull,0.5380749918149711]
[1089700298371813378,Macie,0.5380705649705926]
[369238946,kiernan besse (very big manhattan jaspers fan),0.5380441370162303]
[339606675,Sverre G. Johnsen,0.5377441118265068]
[1892046385,stephalicious,0.5371204135016024]
[724904461458657281,swerteee,0.5369528069923866]
[3543262098,marin,0.5365538400366028]
[1090045412617072640,jack,0.5365275588502523]
[2482986648,GOAT,0.5359361267822326]
[532745897,Iván Rosero C.,0.5355524121330881]
[1056981590423822336,tony stark supremacist,0.5353692892852449]
[339231262,mayXdatSZN.,0.5353461120455512]
[1054773187379126272,Astra🌠Nova🌌,0.5347575094143767]
[949131397456977920,JønäThan,0.534190417319029]
[1037065387526049793,ଘ( ˊ▽ ˋ )ଓ フェニックス♡,0.5341788687863365]
[2895225498,Patrick🥵,0.5341703136888721]
[45862522,AWS Elemental,0.5341599427449886]
[1470195096,ian com m 🐽,0.5338725330113091]
[813508407009439744,Lital Biton,0.5338332332634526]
[120300345,Dani Tello™ 🌁 48 days,0.5335318673561915]
[1060884444880519168,i91,0.5335165942918277]
[30541052,Sarah,0.5334968507714656]
[410126451,Atlantic City Marathon #runac,0.5329727813392658]
[850772317139607552,auntie,0.5329490296187427]
[866252867337834496,Kasumi Yamazaki,0.5328471723559705]
[1247469744,seb sub,0.5327060259379495]
[988695410,ProfileTree Coventry,0.532511818964624]
[169924903,Jonathan Brewer,0.5324910112079292]
[3548436801,Metric,0.5318141987812981]
[2929256083,mar,0.5315136167358444]
[363965329,jazsmine 🦋,0.5313803450423028]
[234309722,Helena,0.5306610854762207]
[2605404746,Yabba,0.5303563825238813]
[2501381668,👑Marina👑 💕Love🌎Peace💕,0.5299854010971503]
[471234513,cassidy 🌻,0.5297843660916697]
[1010260999784620032,LυLυ,0.5292907229122592]
[1069901107,richard parker III,0.529091947794051]
[4876940799,🍋,0.5287220209396557]
[922542269797937152,Yamashita Lab,0.5283700906756814]
[741823180747071488,ZΞCKRIDGRΞΞN69🦄🎮💚🎮💚,0.5281758941389926]
[1086404631411019776,Nath,0.527976161718804]
[1010540485520318464,M-E Seniors,0.527675484104143]
[348516964,Spoiled👑,0.5271106600866698]
[893291943957897216,Sapph loves 5SOS ❤️,0.5270422425878935]
[351153807,Nancy Bell,0.526867062146436]
[3279776162,𝕄𝕒𝕥𝕥,0.5266680055687248]
[2568199704,Ethereal Xanne,0.526226467182355]
[63161746,Mr.Massey,0.5261977548354456]
[610965200,♡,0.5257860408084388]
[194275025,iCraftCafé,0.5257509851979991]
[1907586914,Once Upon A Time,0.5252260606228623]
[743957080202108928,Queen__Afrique,0.5251094546139315]
[762295834662801408,Abigail Elizabeth🎀,0.5250740272116199]
[1120978039,The North Remembers,0.5247698460938782]
[20156119,eProductSales,0.5247383078014982]
[489740202,Kam😛👑,0.5246720223589252]
[810116377,TB,0.5243559101320102]
[938525969509437440,Anita Fernandez,0.524129486345084]
[820086890,ترفيهي,0.5239555112076851]
[846030794460037120,Paul Smith,0.5239203992037084]
[732309180,Rachel Savini,0.5236059329313549]
[827528932383670273,Dan Magnus Lundgren,0.5234101379160575]
[23234658,Whistler Bike Park,0.5230524376291859]
[2606492395,günni,0.5230153666557061]
[373101529,Josh Lawson,0.5225002143681874]
[381168686,Sarah Schuyler,0.5223007297052099]
[1042097170076368898,Adam Easdown,0.5220693017771775]
[967400964,Conman Bowwow,0.5217628988750335]
[2291633528,GPMA,0.5216957924463106]
[702100654,Call Me Special,0.5216394617274845]
[1032341586519179264,Stray Kids First Win ✨🗝️,0.5212106903111432]
[145134826,Pihasa,0.5210125068299741]
[844906205080379393,Yooni🌈🐾,0.5209449266733188]
[1113736444059713536,UK Craft Hour,0.5208979844873455]
[854484825432104960,𖤐,0.5206262071514324]
[987058935130673152,J-63 🇫🇷,0.5203514309287282]
[1079920036666634242,Pit Stop Adventures,0.5199258500199052]
[3392124335,dar,0.5198489465803013]
[1643909461,Köksal Akın,0.5193204132873239]
[34137249,Karla L Blake,0.518951838379033]
[502987919,jaslene 🤡,0.5187579740937311]
[591544805,HLS Orthodontics,0.5185014010617076]
[821044940469923841,Swampy @ meme hiatus,0.5179607001184522]
[7797722,Gareth Funning,0.5177843396223072]
[725145869717229571,A.J. Iarussi,0.5174212250603702]
[18222861,MammothMountain,0.5171998659054458]
[934292467855138817,𝕤𝕖𝕪𝕪𝕥𝕚,0.5168829716109509]
[958432236407345152,katerina,0.516721682055879]
[3171038666,Maayruuh 💋,0.516497069762832]
[43410347,sophia,0.5162121405004173]
[2889027218,Tamara Swift,0.5161449897861439]
[752366478163341312,Entropy,0.5157300312138924]
[1029014973727625219,PEPS LIFESTYLE,0.515606694310173]
[826314146,I'm such a mess,0.5153160895740772]
[35448236,Brown Sugar🍫🍫🍫,0.5152167452875008]
[1065074351005782016,Vina Putri,0.5151393998972348]
[807985542,mer🌬,0.5150707424501597]
[910688945700261888,Mamou Savane,0.5148966349975579]
[421323081,Nozono!,0.5146722422901792]
[17652603,Tony Reinke,0.5143662010088883]
[3091603818,🌟🌟JOHN 🌟🌟,0.5143546050111415]
[988843584265900033,Antalyalı  sikici,0.5142310716782785]
[1107018849352863745,Angel C. Sidney,0.5139558778445916]
[82087936,RjAlokcafe,0.5137232705362481]
[444066520,Lauren Villanueva,0.5134276936061355]
[405115260,courtney,0.5132909283794783]
[1598979864,Great Gov Tweets,0.5130196238811092]
[754167770846076933,lexi,0.5125152029915236]
[1005854934082998272,dia ♡,0.5124608676701231]
[222160956,Polisen Västerbotten,0.5124512319474547]
[839339953930682369,amia 💙jeno month💙 (d-14),0.5123370938838637]
[2290562132,Sam,0.5120638070566781]
[1059567908,ally p,0.5116139741775587]
[198994795,🌺 𝓚𝓛𝓲𝓐,0.5115401005484169]
[422620168,Stephens City UMC,0.5112089285231901]
[756619135031840768,Kay🖤#SaveShadowhunters🖤Epik High🖤,0.5112051974774318]
[1405520258,🌱kaoru°,0.5111366551022436]
[2325757675,ELOQUII,0.5106879770874262]
[1071716634195357697,𝖑𝖚𝖘,0.5103785660860426]
[4314087939,Daniela Ark's rewriting during Camp NaNoWriMo,0.5101986139515834]
[38489613,Tiffany C,0.5101681798846393]
[162837142,Yami Lawliet,0.5100871048869259]
[3062427623,Negu urameshi,0.5097680977196679]
[844189421301829633,Swagbot,0.509605566424995]
[57096982,jackie,0.5093249144364125]
[2162710216,Ace 🔥🤣  𓅓,0.5091977951752085]
[222839525,tay•lor,0.5090499257201944]
[1581295100,LANAH 🤦🏾‍♀️,0.5088089763284291]
[480854128,checkYourlipstick,0.5085782366140645]
[1086110383864143873,Gary J. Polisano - Author,0.5082941745412785]
[739427587815051264,𝓏𝑜𝓏𝑜🍯,0.5082026929475177]
[1516510885,Sheridan High School,0.5079891575846128]
[998520535746150401,Jamais Vu,0.507549051877874]
[302487932,P,0.507476406231595]
[2588051975,Giampaolo Scopa,0.5072132595988267]
[953690470244380676,nab,0.5068503146600664]
[1550792520,Jennifer McDermed,0.5066454892792882]
[273622712,Cdn Gas Association,0.5061359100094689]
[19589633,Drew White,0.5059881074006174]
[53191468,James Butler,0.5058637532542811]
[103667526,Rafi,0.5057338865123758]
[387481770,Tatanisha,0.5054741836226055]
[849307089822511105,Felisbela Campos,0.5050110363082092]
[817436545363931137,Sonya Byrd,0.5049675811971361]
[1148398956,Kevin Kane,0.5046980116115398]
[72719634,Bryan Anderson The Uncensored Farmer,0.5046163361941997]
[575677541,Chérie Yetu 🇨🇩,0.5042802960689998]
[974782097217990657,Woerner Landscape Gulfport,0.5041933773763532]
[1077630107194408961,Monakbangtan,0.5039780908772714]
[149588647,Luke Gordon,0.5036898401990709]
[742945859432796161,👑 vee,0.5033053781173059]
[184914007,Faceless Man.,0.5030727653288901]
[40338609,Northwest CU Assoc.,0.5029218249645155]
[131200448,Tom Sharpe,0.5026944545320349]
[324691342,Jasmine Garner,0.5026119881633658]
[805375106,oVo,0.5025415477162576]
[52147648,McGrew Real Estate,0.5025391775928202]
[2707415654,sara winter,0.5022260987745757]
[1284339866,Momina Afridi,0.5021605393573672]
[1263483254,K Ali,0.502157432868617]
[2887607361,nadia,0.5020099988404936]
[1060679149,Deconinck Frédéric,0.5018715110873777]
[949768987,Ernst Nordholt,0.5017448055942776]
[301500317,Ráhel ラヘル 💜,0.5015368304460919]
[29137937,Purdue Exponent,0.5012512543512838]
[425174444,¹9♕ҚΛŔŦΛŁĩ¢£♕º³,0.5011700265379115]
[1119821515,Core Turf Consulting,0.5011019833364148]
[511929851,Wylis,0.5009064628431243]
[1073560381627473921,Maddie Dupuis,0.50041600850062]
[29416595,Whoa my goodness,0.4999265983024751]
[3171471367,Emad~,0.4995521026176787]
[2348990329,Renci Mula 🦋,0.4990089868771542]
[831607282463039488,Disney Dooney,0.4985231809083138]
[247587316,Ria 🦋,0.4978985429885239]
[1106954767371141122,Ibncyanobacteria,0.49755537983785214]
[2413320559,LeDi 🐉🇺🇦,0.4974154782157698]
[200907097,Emma♡,0.49704678411451264]
[1115586209466552322,Daily Wallpapers 24/7,0.4970394813620762]
[818447069274931201,Running Wild FS,0.4965656443448153]
[91742830,Garreth D'Mello,0.4965051683634215]
[1033775126125457408,Free Live Sexcams,0.49631211150942606]
[272614288,RBKmakes,0.4959459467244485]
[1198003255,Deion Ortega,0.49558061945307813]
[741376811070820352,Paulo Navarro-Costa,0.4955768883594336]
[884394118394372096,Aline Coutinho,0.49532904868293093]
[541669886,zainzy2424,0.4948522869266346]
[1406923454,jäshrin,0.49443771185631735]
[1107263009188134914,Ｌｅｘａｅ,0.49443065689135457]
[3294003194,Jefferson Steelflex,0.4944163261439944]
[3310940486,Adriana Nunez,0.49437652294307843]
[1097741216802918401,Azh_ 🌻,0.49390175351898175]
[888774852877852674,raul⚡️,0.493427975455028]
[620427444,JAY,0.49331710112760657]
[308301944,D.N.S.,0.49326166372527636]
[490842040,Rickey*^!,0.4931813444177337]
[3299489322,alex #22Neri #25Diokno,0.49304779464851783]
[1078809568547766272,Fetish Nudez,0.49280608930471564]
[315191105,chlo $,0.49280156999971]
[747469422516932608,NOAA Education,0.4925540812198556]
[1001657977324044288,Ainslee,0.49232818031674225]
[1706098988,Andrea,0.4921965755292506]
[1308754202,Delyahhhhh,0.4918398778601938]
[19546546,Mark Thombs,0.4916676991817606]
[981927177003220992,HereforUKimMinseok,0.4916230062829316]
[981209873625919488,Flores Artscape,0.4914839855319756]
[1027661670351552512,𝕝𝕚𝕒♡ | 𝕟𝕔𝕥 𝕒𝕦𝕤,0.4911994378793396]
[519375166,ALAN B'STARD,0.4910167462374871]
[22092283,Meredith Barnett,0.4906862982488074]
[959437695490641921,Simone,0.49055047276825]
[1138093620,☽,0.4904995716334826]
[32940236,Mª Ignacia,0.4903096122863719]
[818597653437181952,Ross,0.48984413046310066]
[147270134,Tiffany Higgins,0.48955893376306353]
[3335101461,summer ♡  jjong + woojinie day !!,0.4895254920424946]
[3311863469,Paqi,0.48952394305051283]
[2770467849,Brooke Elizabeth,0.4893815539487995]
[939982950824841231,K'chelle🌸,0.48891992725424327]
[214641099,Squids with Guns,0.488717511254576]
[2842277867,bink$,0.48868221377837356]
[506842526,dwest - spend your damn money, Ricketts,0.4883901660560807]
[19856695,Helen-EthicalAdviser,0.4882895299016538]
[2859074434,Sheridan Sargent,0.48793100348457724]
[2655660520,killss,0.4877537289624072]
[3081703522,AirQualityAssessors,0.48740879936398235]
[3241602248,Muhammad Joe,0.4873501942245439]
[1253091434,10/17,0.48711536138745964]
[1373142744,thomass 🐘,0.4866594149462782]
[3686253738,mimi,0.4865433868846431]
[1092314692108701696,nunamu,0.48639354930364526]
[2820448570,VillageSoup,0.48631522190425297]
[961320801256448000,Dr Vamsi K,0.48626675708353145]
[1089232861985718272,clare vester,0.4860894777453203]
[887384379688931332,Jaden Keuhner 34,0.48563648938573034]
[576755999,fransiskus    W I D O D O,0.4854409832304589]
[796300464212103168,Kulsoom Chandio,0.48532452544780036]
[49119987,Kim E,0.48529496872648864]
[1047785192180633600,OMOtanbaje 🇳🇬🖋️,0.48510137905871065]
[185558767,#2019CoblosNo2👆🏼,0.4849299590728269]
[33501253,Guglielmo Picchi 🇮🇹,0.48484371048956887]
[318023999,Mivia,0.4845039250389355]
[3618135252,•mayaluna•,0.4841648881261365]
[2779022166,Harrison Levin,0.48400754499992815]
[316190727,lave.,0.48373694916862414]
[2978140958,jerren🥶,0.4837161537378381]
[773535678302916608,Ratnesh,0.48368089663497643]
[942086168132321280,💜Serendipitous Coexistence💜,0.4834892214474188]
[3418717317,Kendall's,0.48326261526690595]
[1001451981502861313,𝘔𝘢𝘥𝘪 𝘮𝘪𝘴𝘴𝘦𝘴 𝘝𝘦𝘳𝘯𝘰𝘯 ♡,0.4830472655850908]
[992074746748653569,𝐝𝐢𝐨𝐧𝐲𝐬𝐮𝐬,0.4830472655850908]
[2266474460,chana 🌙,0.4829190655208112]
[309410548,Park One,0.4828161777591061]
[226264383,🍇MAP OF THE SOUL🍓,0.4825909308225224]
[144920340,Poppedijne Wolvilt,0.48238790590978575]
[3868524915,EHSmithArchClay,0.4823219326556839]
[1105968312784117761,Shanell,0.48206409779656495]
[458552568,Mel,0.4819853488123009]
[867596309636685824,nobody,0.48162069544432484]
[921557521378238464,TekMuNNee Options,0.48117817991678474]
[787549462499618816,Kerstin Bystricky,0.48090712365090976]
[199122169,Matt Leach,0.48084638270904023]
[917518834956869632,persona,0.4807344817694468]
[3286104684,ynw 🌎♎️,0.48029420850799026]
[754783987575492609,Dilettanti tal-agrikoltura Siģar u Pjanti,0.4802197590633819]
[3566979136,EXTRA.,0.48020452501794986]
[477098833,Baldhead Scallywag 👩🏽‍🦲,0.4800255100223963]
[133851303,ShoshannaPR,0.4795868315841743]
[889493706587471872,Tsy 🥀Marie✨,0.4792811066741122]
[952498295842246656,VS,0.4791490248680689]
[4002138297,Colby Howell Owens,0.47878746977676606]
[264924373,RK,0.4787674092833147]
[94191287,Trademark,0.4787144765215019]
[1014777360980291584,𝙿𝙴𝚁𝚂𝙾𝙽𝙰,0.4787120872083217]
[999775425734688768,E Lux Electric Bikes,0.47838804786805866]
[932535685,mackic,0.4783615455006101]
[1058698390576390145,ᵇᵒʸ ʷⁱᵗʰ ˡᵘᵛ,0.47827601595017416]
[3038464182,HIVE Real Estate Group,0.47795366845508264]
[2216222376,Ilona de Graaff,0.4777222663017103]
[903348392960675847,Vicky @ TheGrowingMum,0.4777206088274585]
[14707115,K Vashee,0.47737550609039914]
[942889208,Buckett,0.4773531810287627]
[1057029994432655361,Arely Navarro,0.47713846695092343]
[1099881633405054976,Yulia Windiyati,0.47680981715966686]
[75390253,New Breed Archery,0.47670706595470214]
[2717702249,zaakirah,0.47655732906358883]
[2278652868,Colt Barber,0.47627651310892594]
[100018730,Alexander's Uniforms,0.47595549176021157]
[949545717290426369,ken ( ⓛ ﻌ ⓛ *),0.4759011537246644]
[2330448084,EleniFineArtPhoto,0.47552652954464064]
[147466778,Yasmin Jaunbocus,0.4755105337471024]
[2677649364,SCCHD,0.4750984080045217]
[2801339261,five dollar cravings box,0.47499625185347266]
[2626814843,David Orr,0.47488852759300376]
[838478823821737984,FLACKO,0.47457046600120095]
[152675434,Marc van Doorn,0.47449211857864104]
[1078322696503607297,Ŧคtเ๓ค,0.47446873064174405]
[37522605,Ashhh.,0.4743724887995705]
[420404347,Paige harris,0.47435325698801223]
[246110207,Sam Pinto news,0.47392799385011464]
[225443057,Jolanda kroon,0.47359591265699785]
[971780036368961536,JUMSRI,0.47357037876102986]
[1054940053837762561,Obrien🇯🇲🇯🇲,0.47336294410371504]
[2909497699,Lexi Caputo🥀,0.4731557780502787]
[984443661009215490,Society Aberdeen,0.47273381402923864]
[1097727978044383238,stream thrilla killa and miroh,0.4727033838159334]
[627280157,breannehandwerkerr,0.4725892175381795]
[392303546,Ariam,0.47238328330041335]
[230533488,Mike Andrelczyk,0.47226016170914964]
[14231419,Rob Silver,0.47196333026102]
[2651673331,matt,0.4718145088644623]
[23623643,Arkansas Tech,0.4715441890609369]
[3468802103,Hamburg CVB,0.47123603979219447]
[1351055154,피아 🌟 NFlying2ndWin! 🌟,0.4712049200476157]
[816646938044993536,Jazz  AlQuinae,0.47112585728491074]
[1099879880282365956,Atikah Joana,0.4709986395228513]
[162102030,Peter Nagy,0.47081573549572886]
[557038444,Dejan 🇷🇸1244,0.47066287387514727]
[2489443424,🦇🧡🖤🧡🦇,0.4705960807526841]
[3401576698,slim sadi 📿,0.47051040222428897]
[50144492,Reid Laymance,0.4705062666744448]
[2237788747,This Tweet is unavailable.🚻,0.47049207825559264]
[879679485607636992,𝟶𝚡𝚍𝚊𝚍𝟶,0.4702587330589139]
[487729983,rachel mcmillan,0.4700901588854402]
[831355884110495744,Brooke ✨,0.46973386505268083]
[578496718,Ant,0.4697126080662115]
[3128113408,Liz,0.4695111039513004]
